ACISCVLVS,
C IVLIVS CAES IMP COS III,
C MEMMI C F QVIRINVS,
C NORBANVS CC III,
C NVMONIVS VAALA,
CAES AVG GERMA DAC COS VI P P,
CAES AVG GERMA DAC COS VI P P ARA PVDIC,
CAES AVG GERMA DAC COS VI P P MATIDIA AVG,
CAESAR III VIR R P C,
CAPIT IXXV,
CAPPADOCIA S C,
CLEMENTIA AVG COS III,
CLEMENTIA AVG COS III P P,
CLEMENTIA AVG COS III P P S C,
CLEMENTIA AVG P P COS III,
CLEMENTIA AVG P P COS III S C,
CLEMENTIA AVG S C,
COCLES,
COH PRAETOR S C,
COHORT PRAETOR S C,
COM ASI,
COM ASIA,
COM BIT,
CONCORDIA AVG,
CONCORDIA AVG S C,
CONCORDIA AVGVSTA,
CONCORDIA EXERCITVVM,
CONCORDIA EXERCITVVM S C,
CONCORDIA TR POT COS II S C,
CONGIAR P R S C,
CONGIARIVM TERTIVM S C,
CONSERVATORI PATRIS PATRIAE,
CONSERVATORI PATRISPATRIAE S C,
COS II,
COS II DES III P P S C,
COS II DESIGN III P P,
COS II P P CONG P R S C,
COS III DES IIII P P S C,
COS III FORT RED,
COS III P P,
COS III P P CLEMENTIA AVG S C,
COS III P P S C,
COS III PATER PATRIAE,
COS III ROMVLO CONDITORI,
COS III S C,
COS III S C  FORT RED,
COS III S C ANNONA AVG,
COS III S C EXPED AVG,
COS III S C LIBERALITAS AVG IIII,
COS III S C NEP RED,
COS III S C SALVS AVGVSTI,
COS III SARD,
COS III SMVR,
COS V CONGIAR SECVND S C,
COS V P P S P Q R OPTIMO PRINC,
COS V P P S P Q R OPTIMO PRINC AET  AVG,
COS V P P S P Q R OPTIMO PRINC ALIM ITAL,
COS V P P S P Q R OPTIMO PRINC ARAB ADQVISIT,
COS V P P S P Q R OPTIMO PRINC DAC CAP,
COS V P P S P Q R OPTIMO PRINC DANVVIVS,
COS V P P S P Q R OPTIMO PRINC PAX,
COS V P P S P Q R OPTIMO PRINC PIET,
COS V P P S P Q R OPTIMO PRINC REST ITAL,
COS V P P S P Q R OPTIMO PRINC VESTA,
COS V P P S P Q R OPTIMO PRINCIPI,
COS VI P P S P Q R,
COS VI P P S P Q R FORT RED,
COS VI P P S P Q R OPTIMO PRINC,
COS VI P P S P Q R PROVID,
DAC PARTHICO P M TR P COS P P S C,
DAC PARTHICO P M TR P COS P P S C CFORT RED,
DAC PARTHICO P M TR P COS P P S C CONCORDIA,
DAC PARTHICO P M TR P COS P P S C FORT RED,
DAC PARTHICO P M TR POT XX COS VI P P,
DACIA AVGVST PROVINCIA S C,
DACIA S C,
DACICVS COS IIII P P,
DACICVS COS V P P,
DARDANICI,
DECIVSMVS,
DIANA EPHESIA,
DIANA EPHESIA COS III,
DISCIPLINA AVG S C,
DISCIPVLINA AVG S C,
DIVA AVG SABINA,
DIVA AVGVSTA MARCIANA,
DIVA AVGVSTA MATIDIA,
DIVA AVGVSTA SABINA,
DIVA MATIDIA AVGVSTA,
DIVI NER NEP P M TR P COS CONCORD,
DIVI NER NEP P M TR P COS FORT RED,
DIVI NER NEP P M TR P COS ORIENS,
DIVI NERVA ET TRAIANVS PAT,
DIVI NERVA P ET PLOTINA AVG IMP TRAIAN,
DIVI TRAIANO PARTH AVG PATRI,
DIVIS PARENTIBVS,
DIVO TRAIANO PART AVG PATRI,
DIVO TRAIANO PATRI,
DIVO TRAIANO PATRI AVG,
DIVVS AVGVSTVS,
DIVVS AVGVSTVS PATER,
DIVVS CLAVDIVS,
DIVVS HADRIANVS AVG,
DIVVS NERVA,
DIVVS PATER TRAIAN,
DIVVS PATER TRAIANVS,
DIVVS TITVS,
DIVVS TRAIAN AVG PARTH PATER S C,
DIVVS TRAIANVS PATER AVGVSTVS,
DIVVS VESPASIANVS,
DIVVS VESPASIANVS AVG,
DOS,
DOSSEN,
EX SENATVS CONSVLTO,
EX SENATVS CONSVLTO S C,
EXER CAPPADOCIVS S C,
EXER MOESIACVS,
EXERC BRITAN S C,
EXERC DACICVS S C,
EXERC DELMATICVS S C,
EXERC GERMA S C,
EXERC HISPAN S C,
EXERC HISPANICVS S C,
EXERC SYRIAC S C,
EXERC SYRIACVS S C,
EXERCITVS DACIVS S C,
EXERCITVS GERMANICVS S C,
EXERCITVS MAVRETANICVS S C,
EXERCITVS NORICVS S C,
EXERCITVS RAETICVS S C,
EXERCITVS SYRIACVS S C,
FAVSTVS,
FEELIX,
FELIC AVG P M TR P COS III,
FELICITAS AVG,
FELICITAS AVG COS III,
FELICITAS AVG COS III P P,
FELICITAS AVG S C,
FELICITAS AVGVST S C,
FELICITAS AVGVSTI S C,
FELICITAS P R,
FELICITAS P R S C,
FELICITATI AVG,
FELICITATI AVG COS III P P,
FELICITATI AVG COS III P P S C,
FELICITATI AVGVSTI,
FIDES AVGVST S C,
FIDES EXERCIT S C,
FIDES PVBLICA,
FIDES PVBLICA S C,
FISCI IVDAICI CALVMNIA SVBLATA S C,
FLORAL PRIMVS,
FORT RED COS III,
FORT RED COS III P P,
FORT RED COS III P P S C,
FORT RED COS III S C,
FORT REDVCI,
FORTVNA AVG,
FORTVNA AVG S C,
FORTVNA AVGVST,
FORTVNA AVGVST S C,
FORTVNA AVGVSTI S C,
FORTVNA EPHESIA,
FORTVNA P R,
FORTVNA PR S C,
FORTVNA REDVCI S C,
FORTVNA SPES,
FORTVNAE AVGVSTI S C,
FORTVNAE REDVCA S C,
FORTVNAE REDVCI,
FORTVNAE REDVCI COS III P P S C,
FORTVNAE REDVCI S C,
FORVM TRAIAN,
GALBA IMPERATOR,
GENIO P R,
HADRIANO TRAIANO CAESARI,
HADRIANVS AVG P P REN,
HILARITAS P R COS III S C,
HISPANIA S C,
I O M CAPITOLINVS,
IMP CAE D TR PAR F D NER N TRA HADRIANO AVG,
IMP CAE DI TRAIAN F DIV NER NEP TRA HADRIANO AVG,
IMP CAES ANTONINVS,
IMP CAES DIVI TRA PARTH F DIVI NER NEP TRAIANO HADRIANO AVG,
IMP CAES DIVI TRAIAN AVG F TRAIAN HADRIAN OPT AVG GER,
IMP CAES HADRIAN DIVI NER TRAIAN OPT FIL,
IMP CAES HADRIANVS AVG COS III,
IMP CAES NER TRAIAN AVG,
IMP CAES NER TRAIAN OPTIM AVG GER DAC,
IMP CAES NER TRAIAN OPTIM AVG GER DAC PARTH,
IMP CAES NER TRAIAN OPTIM AVG GER DAC PARTHICO,
IMP CAES NER TRAIAN OPTIM AVG GERM DAC,
IMP CAES NER TRAIAN OPTIM AVG P M TR P COS VI P P,
IMP CAES NER TRAIAN OPTIMO AVG GER DAC,
IMP CAES NER TRAIAN OPTIMO AVG GERM DAC,
IMP CAES NER TRAIANO OPTIM  AVG GERM,
IMP CAES NER TRAIANO OPTIM AVG GER DAC PARTHICO,
IMP CAES NER TRAIANO OPTIM AVG GERM DAC,
IMP CAES NER TRAIANO OPTIMO AVG DAC GER DAC P M TR P COS VI P P,
IMP CAES NER TRAIANO OPTIMO AVG GER DAC,
IMP CAES NER TRAIANO OPTIMO AVG GER DAC P M TR P COS VI P P,
IMP CAES NER TRAIANO OPTIMO AVG GER DAC PARTHICO P M TR P COS VI P P,
IMP CAES NER TRAIANO OPTIMO AVG GERM,
IMP CAES NERVA TRAIAN AVG,
IMP CAES NERVA TRAIAN AVG GER DAC,
IMP CAES NERVA TRAIAN AVG GER DAC P M TR P VII,
IMP CAES NERVA TRAIAN AVG GERM,
IMP CAES NERVA TRAIAN AVG GERM DACICVS P M,
IMP CAES NERVA TRAIAN AVG GERM P M,
IMP CAES NERVA TRAIAN AVG GERM P M TR P,
IMP CAES NERVA TRAIAN AVG GERM P M TR P P P,
IMP CAES NERVA TRAIAN AVG GERM P M TR P VI,
IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS VI P P,
IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P CS AP,
IMP CAES NERVAE TRAIANO AVG GER DAC PM TR P COS V P P,
IMP CAES NERVAE TRAIANO AVG GER DAC PM TR P COS VI P P,
IMP CAES TRA HADRIANO AVG P P,
IMP CAES TRA HADRIANVS AVG,
IMP CAES TRA PARTH F DIVI NER NEP TRAIANO HADRIANO AVG,
IMP CAES TRAIAN AVG GER DAC P M TR P COS VI P P,
IMP CAES TRAIAN AVG GER DAC P P,
IMP CAES TRAIAN AVG GER DAC P P C MAMIL LIME TAN,
IMP CAES TRAIAN AVG GER DAC P P L RVBRI,
IMP CAES TRAIAN AVG GER DAC P P M METELLVS Q F,
IMP CAES TRAIAN AVG GER DAC P P Q THERM M F,
IMP CAES TRAIAN AVG GER DAC P P REST,
IMP CAES TRAIAN AVG GER DAC P P REST  C SERVEIL C F,
IMP CAES TRAIAN AVG GER DAC P P REST BRVTVS,
IMP CAES TRAIAN AVG GER DAC P P REST C MARI C F S C IXXV,
IMP CAES TRAIAN AVG GER DAC P P REST C VAL FLA IMPERAT EX S C,
IMP CAES TRAIAN AVG GER DAC P P REST CAESAR,
IMP CAES TRAIAN AVG GER DAC P P REST CARISIVS,
IMP CAES TRAIAN AVG GER DAC P P REST CORNVFICI AVGVR IMP,
IMP CAES TRAIAN AVG GER DAC P P REST COSSVS CN F LENTVLVS,
IMP CAES TRAIAN AVG GER DAC P P REST EPPIVS LEF F C,
IMP CAES TRAIAN AVG GER DAC P P REST FAVSTVS,
IMP CAES TRAIAN AVG GER DAC P P REST FELIX,
IMP CAES TRAIAN AVG GER DAC P P REST L LIVINEIVS REGVLVS,
IMP CAES TRAIAN AVG GER DAC P P REST L LVCRETI TRIO,
IMP CAES TRAIAN AVG GER DAC P P REST L VALERIVS,
IMP CAES TRAIAN AVG GER DAC P P REST M AGRIPPA COS TER COSSVS LENTVLVS,
IMP CAES TRAIAN AVG GER DAC P P REST M LEPIDVS AIMILIA REF S C,
IMP CAES TRAIAN AVG GER DAC P P REST M TVLLI,
IMP CAES TRAIAN AVG GER DAC P P REST MARCELLVS COS QVINQ,
IMP CAES TRAIAN AVG GER DAC P P REST MEMMIVS AED C E R I A L I A PREMIVS FECIT,
IMP CAES TRAIAN AVG GER DAC P P REST P CLODIVS M F,
IMP CAES TRAIAN AVG GER DAC P P REST P GALB AED CVR,
IMP CAES TRAIAN AVG GER DAC P P REST PHILIPPVS,
IMP CAES TRAIAN AVG GER DAC P P REST PRAEF CLAS ET ORAE MARIT EX S C,
IMP CAES TRAIAN AVG GER DAC P P REST PVTEAL SCRIBON,
IMP CAES TRAIAN AVG GER DAC P P REST Q C M P I,
IMP CAES TRAIAN AVG GER DAC P P REST ROMA,
IMP CAES TRAIAN AVG GER DAC P P REST TER PAVLVS,
IMP CAES TRAIAN AVG GER DAC P P REST VAALA,
IMP CAES TRAIAN AVG GER DAC P P RESTP HYPSAE AED CVR C HYPSAE COS PREIVE CAPTV,
IMP CAES TRAIAN AVG GER DAC P P T DEIDI,
IMP CAES TRAIAN AVG GER DAC P P T I Q S,
IMP CAES TRAIAN AVG GER DAC P P VICTRIX,
IMP CAES TRAIAN AVG GERM,
IMP CAES TRAIAN HADRIAN OPT AVG G D PAR,
IMP CAES TRAIAN HADRIAN OPT AVG G D PAR GER,
IMP CAES TRAIAN HADRIAN OPT AVG GER DAC,
IMP CAES TRAIAN HADRIANO AVG DIVI,
IMP CAES TRAIAN HADRIANO AVG DIVI NER,
IMP CAES TRAIAN HADRIANO AVG DIVI TRA,
IMP CAES TRAIAN HADRIANO AVG DIVI TRA PARTH F,
IMP CAES TRAIAN HADRIANO OPT AVG G D PAR,
IMP CAES TRAIAN HADRIANO OPT AVG G D PART,
IMP CAES TRAIAN HADRIANO OPT AVG G D PARTH,
IMP CAES TRAIAN HADRIANO OPT AVG GER DAC,
IMP CAES TRAIANO AVG GER DAC PART,
IMP CAES TRAIANO HADRIANO AVG,
IMP CAES TRAIANO HADRIANO AVG P M TR P COS,
IMP CAES TRAIANO OPTIMO AVG GER DAC P M TR P COS VI P P,
IMP CAESAR AVGVSTVS,
IMP CAESAR TRAIAN AVG GERM,
IMP CAESAR TRAIAN HADRIANVS AVG P M TR P COS III,
IMP CAESAR TRAIANVS AVG GER DAC,
IMP CAESAR TRAIANVS HADRIANVS AVG,
IMP CAESAR TRAIANVS HADRIANVS AVG GE D P,
IMP CAESAR TRAIANVS HADRIANVS AVG P M TR P COS III,
IMP CAESAR VESPASIANVS AVG COS VIIII,
IMP HADRIAN DIVI NER TRAIAN OPT FIL REST,
IMP II COS III DES IIII P P,
IMP II COS III DESIGN IIII P P,
IMP II COS III P P S C,
IMP II COS IIII P P,
IMP IIII COS IIII DES V P P S C,
IMP NER TRAIAN AVG GER DACICVS,
IMP NER TRAIANO OPTIMO AVG GER DAC P M TR P,
IMP NERVA CAES AVG,
IMP NERVA CAES AVG GERM P M TR P II,
IMP NERVA CAES AVG GERM P M TR POT P P,
IMP NERVA CAES AVG P M TR P COS II DESIGN III P P,
IMP NERVA CAES AVG P M TR P COS II P P,
IMP NERVA CAES AVG P M TR P COS III P P,
IMP NERVA CAES AVG P M TR P COS III P P REST,
IMP NERVA CAES AVG P M TR P II COS III P P,
IMP NERVA CAES AVG P M TR POT,
IMP NERVA CAES AVG P M TR POT II,
IMP NERVA CAES AVG P M TR POT P P,
IMP NERVA CAES AVG P M TR POT P P COS III,
IMP NERVA CAES AVG P M TR POT P P COS IIII,
IMP NERVA CAES AVG PM TR P COS II P P,
IMP NERVA CAES AVG PONT MAX TR P,
IMP NERVA CAES AVG REST,
IMP NERVA CAES AVG REST S C,
IMP NERVA CAES TRAIAN AVG GERM P M,
IMP NERVA CAES TRAIAN AVG GERM P M TR P P P,
IMP NERVA CAESAR AVGVSTVS REST,
IMP NERVA TRAIAN AVG GER,
IMP NERVA TRAIANVS AVG GER DACICVS,
IMP NERVAE TRAIANO AVG DAC P M TR P COS VI P P,
IMP NERVAE TRAIANO AVG GER DAC P M TR P COS VI P P,
IMP T AEL CAES ANTONINVS,
IMP T AEL CAES HADR ANTONINVS,
IMP T AEL CAES HADRI ANTONINVS PIVS,
IMP T AEL CAESAR HADR ANTONINVS,
IMP T AELIVS CAESAR ANTONINVS,
IMP TITVS CAES VESPASIAN AVG P M,
IMP TRAI GER DAC M P,
IMP TRAIANO AVG GER DAC P M TR,
IMP TRAIANO AVG GER DAC P M TR P,
IMP TRAIANO AVG GER DAC P M TR P COS V DES VI,
IMP TRAIANO AVG GER DAC P M TR P COS V DES VI P P,
IMP TRAIANO AVG GER DAC P M TR P COS V P P,
IMP TRAIANO AVG GER DAC P M TR P COS VI P P,
IMP TRAIANO GER DACICO TR P COS V P P,
IMP TRAIANO OPTIMO AVG GER DAC P M TR P,
IMP TRAIANVS AVG GER DAC P M TR P COS VI P P,
IMP TRAIANVS AVG GERM DACICVS,
IMP TRAIANVS HADRIANVS AVG,
IMPERATOR VII,
IMPERATOR VIII,
IMPERATOR VIII S C,
IMPERATOR VIIII S C,
INDVLGENTIA AVG COS III,
INDVLGENTIA AVG COS III P P,
INDVLGENTIA AVG COS III P P S C,
INDVLGENTIA AVG P P COS III,
INDVLGENTIA AVG P P COS III S C,
IOVI CVSTODI S C,
IOVI VICTORI,
IOVIS OLYMPIVS,
ITALIA,
ITALIA FELIX,
IVDAEA S C,
IVNONI REGINAE,
IVNONI REGINAE S C,
IVSTITIA AVG,
IVSTITIA AVG COS III,
IVSTITIA AVG COS III P P,
IVSTITIA AVG COS III P P S C,
IVSTITIA AVG P P COS III,
IVSTITIA AVG P P COS III S C,
IVSTITIA AVG S C,
IVSTITIA AVG VI S C,
IVSTITIA AVGVST,
IVSTITIA AVGVST S C,
L AELIVS CAESAR TR P COS II,
L SERVIVS RVFVS,
LIBERALITAS AVG COS III,
LIBERALITAS AVG COS III P P,
LIBERALITAS AVG COS III P P S C,
LIBERALITAS AVG III S C,
LIBERALITAS AVG P P COS III,
LIBERALITAS AVG P P COS III S C,
LIBERALITAS AVG S C,
LIBERALITAS AVG VI,
LIBERALITAS AVG VI S C,
LIBERALITAS AVG VII,
LIBERALITAS AVG VII S C,
LIBERTAS,
LIBERTAS PVBLICA,
LIBERTAS PVBLICA S C,
LOCVPLETATORI ORBIS TERRARVM S C,
M CATO ROMA,
M SCAVR AED CVR EX S C REX ARETAS,
MAG PIVS IMP ITER,
MARCELLINVS,
MARCIANA AVG SOROR IMP TRAIANI,
MARTI,
MATIDIA AVG DIVAE MARCIANAE F,
MATIDIAE AVG,
MAVRETANIA S C,
MET NOR,
METAL DELM,
METALL VLPANIANI DELM,
METALL VLPIANI PANN,
METALLI PANNONICI,
METALLI VLPANI,
METALLI VLPANI DELM,
METALLI VLPANI S C,
MONETA,
MONETA AVG,
MONETA AVG S C,
MONETA AVGVST,
MONETA AVGVSTI S C,
NILVS S C,
P M TR P COS DES II,
P M TR P COS DES II CONCORD,
P M TR P COS DES II FORT RED,
P M TR P COS DES II IVSTITIA,
P M TR P COS DES II ORIENS,
P M TR P COS DES II PAX,
P M TR P COS DES II PIETAS,
P M TR P COS DES III AET AVG,
P M TR P COS DES III CONCORD,
P M TR P COS DES III FEL AVG,
P M TR P COS DES III SALVS AVG,
P M TR P COS DES III VOT PVB,
P M TR P COS II,
P M TR P COS II AET AVG,
P M TR P COS II CONCORD,
P M TR P COS II FEL AVG,
P M TR P COS II FORT RED,
P M TR P COS II IVSTITIA,
P M TR P COS II ORIENS,
P M TR P COS II P P,
P M TR P COS II PAX,
P M TR P COS II PIETAS,
P M TR P COS II S C,
P M TR P COS II SALVS AVG,
P M TR P COS II VOT PVB,
P M TR P COS III AET AVG,
P M TR P COS III AETER AVG,
P M TR P COS III CLEM,
P M TR P COS III CONCORD,
P M TR P COS III FEL AVG,
P M TR P COS III FEL P R,
P M TR P COS III FELIC AVG,
P M TR P COS III FORT RED,
P M TR P COS III GEN P R,
P M TR P COS III HERC GADIT,
P M TR P COS III HILAR P R,
P M TR P COS III LIB PVB,
P M TR P COS III LIBERAL AVG III,
P M TR P COS III P P,
P M TR P COS III PRO AVG,
P M TR P COS III PV DIC,
P M TR P COS III S C,
P M TR P COS III S C EXPED AVG,
P M TR P COS III S C FORT RED,
P M TR P COS III S C VIRT AVG,
P M TR P COS III SAEC AVR,
P M TR P COS III SAL AVG,
P M TR P COS III SALVS AVG,
P M TR P COS III V S PRO RED,
P M TR P COS III VIRT AVG,
P M TR P COS III VOT PVB,
P M TR P COS IIII P P,
P M TR P COS V P P,
P M TR P COS VI P P S P Q R,
P M TR P COS VI P P S P Q R FORT RED,
P M TR P COS VI P P S P Q R PARTHICA CAPTA,
P M TR P COS VI P P S P Q R PRO AVG,
P M TR P COS VI P P S P Q R PROVID,
P M TR P COS VI P P S P Q R SALVS AVG,
P M TR P COS VI P P S P Q R VOTA SVSCEPTA,
P M TR P VI AVG IMP,
P M TR POT COS DES II S C,
P M TR POT COS II,
P M TR POT COS S C,
P M TR POT XX COS VI P P,
PARTH F DIVI NER NEP P M TR P COS CONCORD,
PARTH F DIVI NER NEP P M TR P COS FORT RED,
PARTH F DIVI NER NEP P M TR P COS IVSTITIA,
PARTH F DIVI NER NEP P M TR P COS PAX,
PARTH F DIVI NER NEP P M TR P COS PIETAS,
PARTHIC DIVI NER NEP P M TR P,
PARTHIC DIVI TRAIAN AVG F P M TR P COS P P,
PARTHIC DIVI TRAIAN AVG F P M TR P COS P P ADOPTIO,
PARTHIC DIVI TRAIAN AVG F P M TR P COS P P CONCORD,
PARTHIC DIVI TRAIAN AVG F P M TR P COS P P FORT RED,
PARTHIC DIVI TRAIAN AVG F P M TR P COS P P IVSTITIA,
PARTHIC DIVI TRAIAN AVG F P M TR P COS P P PAX,
PARTHIC DIVI TRAIAN AVG F P M TR P COS P P PIETAS,
PARTHICO P M TR P COS VI P P S P Q R,
PARTHICO P M TR P COS VI P P S P Q R FORT RED,
PARTHICO P M TR P COS VI P P S P Q R PRO AVG,
PARTHICO P M TR P COS VI P P S P Q R PRO VID,
PARTHICO P M TR P COS VI P P S P Q R PROVID,
PARTHICO P M TR P COS VI P P S P Q R SALVS AVG,
PATIENTIA AVGVSTI COS III,
PAVLLVS LEPIDVS CONCORDIA,
PAX AVG S C,
PIETAS AVG COS III P P,
PIETAS AVGVST,
PIETAS AVGVSTI COS III,
PIETAS AVGVSTI S C,
PIETATI AVG,
PIETATI AVG COS III P P,
PLEBEI VRBANAE FRVMENTO CONSTITVTO S C,
PLOTINA AVG DIVI,
PLOTINA AVG IMP TRAIAN,
PLOTINA AVG IMP TRAIANI,
PLOTINA AVGVSTA IMP TRAIANI,
PLOTINA AVGVSTA IMP TRAIANI CAES,
PLOTINAE AVG,
PONT MAX TR POT COS,
PONT MAX TR POT COS DES II S C CONCORDIA,
PONT MAX TR POT COS DES II S C FORT RED,
PONT MAX TR POT COS DES III S C ANNONA AVG,
PONT MAX TR POT COS II,
PONT MAX TR POT COS II S C,
PONT MAX TR POT COS II S C ADVENTVS AVG,
PONT MAX TR POT COS II S C ANNONA AVG,
PONT MAX TR POT COS II S C CONCORDIA,
PONT MAX TR POT COS II S C FORT RED,
PONT MAX TR POT COS II S C LIBERALITAS AVG,
PONT MAX TR POT COS II S C SALVS AVG,
PONT MAX TR POT COS III,
PONT MAX TR POT COS III S C,
PONT MAX TR POT COS III S C ANNONA AVG,
PONT MAX TR POT COS III S C BRITANNIA,
PONT MAX TR POT COS III S C CONCORDIA,
PONT MAX TR POT COS III S C FORT RED,
PONT MAX TR POT COS III S C LIBERALITAS AVG,
PONT MAX TR POT COS III S C LIBERTAS RESTITVTA,
PONT MAX TR POT COS III S C PIE AVG,
PONT MAX TR POT COS III S C SECVR AVG,
PONT MAX TR POT COS S C,
PONT MAX TR POT COS S C CONCORDIA,
PONT MAX TR POT COS S C FORT RED,
PONT MAX TR POT COS S C PAX,
PORTVM TRAIANI S C,
PROFECTIO AVG,
PROFECTIO AVG S C,
PROVIDENTIA AVG S C,
PROVIDENTIA AVGVSTI COS III,
PROVIDENTIA AVGVSTI S P Q R S C,
PROVIDENTIA DEORVM S C,
PROVIDENTIA SENATVS S C,
PVDICITIA S C,
Q CASSIVS LIBERT,
Q CASSIVS VEST,
Q METELL SCIPIO IMP,
REGNA ADSIGNATA,
REGNA ADSIGNATA S C,
RELIQVA VETERA HS NOVIES MILL ABOLITA S C,
RESTITVTORI ACHAIAE,
RESTITVTORI ACHAIAE S C,
RESTITVTORI AFRICAE,
RESTITVTORI AFRICAE S C,
RESTITVTORI ARABIAE S C,
RESTITVTORI ASIAE S C,
RESTITVTORI BITHYNIAE S C,
RESTITVTORI GALLIAE,
RESTITVTORI GALLIAE S C,
RESTITVTORI HISPANIAE,
RESTITVTORI HISPANIAE S C,
RESTITVTORI ITALIAE,
RESTITVTORI ITALIAE S C,
RESTITVTORI LIBYAE S C,
RESTITVTORI MACEDONIAE,
RESTITVTORI MACEDONIAE S C,
RESTITVTORI NICOMEDIAE S C,
RESTITVTORI ORBIS TERRAR,
RESTITVTORI ORBIS TERRARVM S C,
RESTITVTORI PHRYGIAE S C,
RESTITVTORI PRHGIAE S C,
RESTITVTORI SICILIAE S C,
REX PARTHIS DATVS S C,
REX PARTHVS,
REX PARTHVS S C,
ROMA AETERNA,
ROMA AETERNA S C,
ROMA FELIX,
ROMA FELIX COS III P P,
ROMA RENASCENS S C,
ROMVLO CONDITORI,
ROMVLO CONDITORI S C,
S P Q R AN F F HADRIANO AVG P P,
S P Q R EX S C,
S P Q R OB CIV SER,
S P Q R OPTIMO PRINC,
S P Q R OPTIMO PRINCIPI  ALIM ITAL,
S P Q R OPTIMO PRINCIPI AET AVG,
S P Q R OPTIMO PRINCIPI ALIM ITAL,
S P Q R OPTIMO PRINCIPI ARAB ADQ,
S P Q R OPTIMO PRINCIPI FORT RED,
S P Q R OPTIMO PRINCIPI PAX,
S P Q R OPTIMO PRINCIPI PIET,
S P Q R OPTIMO PRINCIPI S C ALIM ITAL,
S P Q R OPTIMO PRINCIPI S C AQVA TRAIANA,
S P Q R OPTIMO PRINCIPI S C ARAB ADQ,
S P Q R OPTIMO PRINCIPI S C ARAB ADQVIS,
S P Q R OPTIMO PRINCIPI S C ARAB ADQVISIT,
S P Q R OPTIMO PRINCIPI S C BASILICA VLPIA,
S P Q R OPTIMO PRINCIPI S C DA CAP,
S P Q R OPTIMO PRINCIPI S C FORVM TRAIANI,
S P Q R OPTIMO PRINCIPI S C ITALIA REST,
S P Q R OPTIMO PRINCIPI S C REST ITAL,
S P Q R OPTIMO PRINCIPI S C REST ITALIA,
S P Q R OPTIMO PRINCIPI S C ROMA REST,
S P Q R OPTIMO PRINCIPI S C VIA TRAIANA,
S P Q R OPTIMO PRINCIPI VESTA,
S P Q R OPTIMO PRINCIPI VIA TRAIANA,
S P Q R S C,
SABINA AVGVSTA,
SABINA AVGVSTA HADRIANI AVG,
SABINA AVGVSTA HADRIANI AVG P P,
SABINA AVGVSTA IMP HADRIANI AVG P P,
SALVS AVG S C,
SALVS AVGVSTI S C,
SALVS AVGVSTI TI COS III S C,
SALVS GENERIS HVMANI,
SALVS PVBLICA,
SALVS PVBLICA S C,
SECVR PVB COS III P P,
SECVRITAS AVG,
SENATVS POPVLVSQVE ROMANVS,
SENATVS POPVLVSQVE ROMANVS S C,
SENATVS POPVLVSQVE ROMANVS S C FORT RED,
SENATVS POPVLVSQVE ROMANVS S C PRO AVG,
SENATVS POPVLVSQVE ROMANVS S C SALVS AVG,
SICILIA S C,
SPES P R,
SPES P R S C,
TELLVS STABIL,
TELLVS STABIL S C,
TI CAESAR DIVI AVG F AVGVSTVS,
TI CLAVD CAESAR AVG P M TR P VI IMP X,
TR P COS II DESIGN III,
TR P COS II P P,
TR P COS II P P PROVID,
TR P COS II P P S C,
