PONTIF MAX TR P VII COS IIII P P EX S C,pontifex maximvs tribvnicia potestate Ⅶ consvl Ⅳ pater patriae ex senatvs consvlto
PONTIF MAX TR P VIII COS IIII P P EX S C,pontifex maximvs tribvnicia potestate Ⅷ consvl Ⅳ pater patriae ex senatvs consvlto
PONTIF MAX TR P VIIII COS IIII P P EX S C,pontifex maximvs tribvnicia potestate Ⅸ consvl Ⅳ pater patriae ex senatvs consvlto
PONTIF MAX TR P X COS IIII P P EX S C,pontifex maximvs tribvnicia potestate Ⅹ consvl Ⅳ pater patriae ex senatvs consvlto
PONTIF MAX TR POT IMP P P,pontifex maximvs tribvnicia potestate imperator pater patriae
PONTIF MAX TR POT IMP P P  S C,
PONTIF MAX TR POT IMP P P  S C I,
PONTIF MAX TR POT IMP P P S C,pontifex maximvs tribvnicia potestate imperator pater patriae senatvs consvlto
PONTIF MAX TR POT IMP P P S C I,pontifex maximvs tribvnicia potestate imperator pater patriae senatvs consvlto Ⅰ
PONTIF MAX TR POT P P S C,pontifex maximvs tribvnicia potestate pater patriae senatvs consvlto
PONTIF MAX TR POTEST IMP P P S C I,pontifex maximvs tribvnicia potestate imperator pater patriae senatvs consvlto Ⅰ
PORT AVG S C,
SECVRITAS AVGVSTI,secvritas avgvsti
SECVRITAS AVGVSTI S C II,secvritas avgvsti senastvs consvlto Ⅱ
TR PON P P S S C,
TR POT P P S S C,
TRIB POT P P S C,tribvnicia potestate pater patriae senatvs consvlto
VICTORIA AVGVSTI S C II,victoria avgvsti senastvs consvlto Ⅱ
